number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_num_layers,state
0,0.6251091361045837,2026-03-29 22:37:49.902252,2026-03-29 22:37:56.041274,0 days 00:00:06.139022,Tanh,32,0.00014090690098446206,1,COMPLETE
1,0.15670084953308105,2026-03-29 22:37:56.041776,2026-03-29 22:37:58.618479,0 days 00:00:02.576703,Tanh,64,0.00017691950623139967,2,COMPLETE
2,0.23109817504882812,2026-03-29 22:37:58.620779,2026-03-29 22:38:00.876575,0 days 00:00:02.255796,Tanh,64,0.00011593137415747852,2,COMPLETE
3,0.04478621482849121,2026-03-29 22:38:00.876898,2026-03-29 22:38:18.116928,0 days 00:00:17.240030,Tanh,128,0.008391044533201969,3,COMPLETE
4,0.013111570850014687,2026-03-29 22:38:18.117349,2026-03-29 22:38:18.273497,0 days 00:00:00.156148,LeakyReLU,64,0.008948993157733315,2,COMPLETE
5,0.09159596264362335,2026-03-29 22:38:18.273818,2026-03-29 22:38:18.824368,0 days 00:00:00.550550,Tanh,32,0.0016739355717946035,3,COMPLETE
6,0.03961719945073128,2026-03-29 22:38:18.824659,2026-03-29 22:38:18.859636,0 days 00:00:00.034977,LeakyReLU,32,0.004251887012383278,2,COMPLETE
7,0.059849418699741364,2026-03-29 22:38:18.859961,2026-03-29 22:38:18.929050,0 days 00:00:00.069089,Tanh,32,0.009896818346660022,2,COMPLETE
8,0.0505751334130764,2026-03-29 22:38:18.929363,2026-03-29 22:38:18.984337,0 days 00:00:00.054974,LeakyReLU,64,0.007620854760207455,1,COMPLETE
9,0.22754977643489838,2026-03-29 22:38:18.984742,2026-03-29 22:38:22.900735,0 days 00:00:03.915993,Tanh,32,0.0005088264172971701,2,COMPLETE
10,0.016261855140328407,2026-03-29 22:38:22.901060,2026-03-29 22:38:31.045144,0 days 00:00:08.144084,ReLU,128,0.00189195184456543,3,COMPLETE
11,0.0033232136629521847,2026-03-29 22:38:31.045581,2026-03-29 22:38:31.498936,0 days 00:00:00.453355,ReLU,128,0.0019458946328842867,3,COMPLETE
12,0.05921994149684906,2026-03-29 22:38:31.499415,2026-03-29 22:38:31.942295,0 days 00:00:00.442880,ReLU,128,0.0006986393151807383,3,COMPLETE
13,0.07491868734359741,2026-03-29 22:38:31.946254,2026-03-29 22:38:32.021208,0 days 00:00:00.074954,ReLU,128,0.0033101188222615903,1,COMPLETE
14,0.15024277567863464,2026-03-29 22:38:32.021529,2026-03-29 22:38:32.158552,0 days 00:00:00.137023,LeakyReLU,64,0.0003359736923351742,3,COMPLETE
15,0.038992561399936676,2026-03-29 22:38:32.158927,2026-03-29 22:38:32.410505,0 days 00:00:00.251578,ReLU,128,0.0013627461321570665,2,COMPLETE
16,0.010660381987690926,2026-03-29 22:38:32.410814,2026-03-29 22:38:32.572983,0 days 00:00:00.162169,LeakyReLU,64,0.0032876790379973864,3,COMPLETE
17,0.006113098002970219,2026-03-29 22:38:32.573292,2026-03-29 22:38:32.706091,0 days 00:00:00.132799,ReLU,64,0.0030996030996626968,3,COMPLETE
18,0.0049638040363788605,2026-03-29 22:38:32.706449,2026-03-29 22:38:33.113978,0 days 00:00:00.407529,ReLU,128,0.0023668300483922038,3,COMPLETE
19,0.031307950615882874,2026-03-29 22:38:33.114289,2026-03-29 22:38:33.519648,0 days 00:00:00.405359,ReLU,128,0.0008516654207555913,3,COMPLETE
20,0.0025622586254030466,2026-03-29 22:38:33.519996,2026-03-29 22:38:33.939997,0 days 00:00:00.420001,ReLU,128,0.004932108535398819,3,COMPLETE
21,0.0040672351606190205,2026-03-29 22:38:33.942833,2026-03-29 22:38:34.339573,0 days 00:00:00.396740,ReLU,128,0.005221419516648622,3,COMPLETE
22,0.00211702985689044,2026-03-29 22:38:34.340003,2026-03-29 22:38:34.732152,0 days 00:00:00.392149,ReLU,128,0.005510526347896235,3,COMPLETE
23,0.0018525939667597413,2026-03-29 22:38:34.732529,2026-03-29 22:38:35.146442,0 days 00:00:00.413913,ReLU,128,0.005582990644893001,3,COMPLETE
24,0.015450876206159592,2026-03-29 22:38:35.146739,2026-03-29 22:38:35.528191,0 days 00:00:00.381452,ReLU,128,0.005529899208812452,3,COMPLETE
25,0.0015420062700286508,2026-03-29 22:38:35.528689,2026-03-29 22:38:35.944923,0 days 00:00:00.416234,ReLU,128,0.005871702335125433,3,COMPLETE
26,0.0027195748407393694,2026-03-29 22:38:35.945297,2026-03-29 22:38:36.437714,0 days 00:00:00.492417,ReLU,128,0.006489003948033038,3,COMPLETE
27,0.037468235939741135,2026-03-29 22:38:36.438042,2026-03-29 22:38:36.625745,0 days 00:00:00.187703,ReLU,128,0.001164856500348308,2,COMPLETE
28,0.003076668130233884,2026-03-29 22:38:36.627320,2026-03-29 22:38:37.017105,0 days 00:00:00.389785,ReLU,128,0.0036351625778659395,3,COMPLETE
29,0.05421905964612961,2026-03-29 22:38:37.017702,2026-03-29 22:38:37.070948,0 days 00:00:00.053246,ReLU,128,0.002376623412316078,1,COMPLETE
